ERROR: system: Crop is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command tooltips
INFO: Adding minetweaker command entities
INFO: Adding minetweaker command lexiconCategories
INFO: Adding minetweaker command lexiconPages
INFO: Adding minetweaker command botaniaBrews
INFO: Adding minetweaker command lexiconKnowledgeTypes
INFO: Adding minetweaker command botaniaOrechid
INFO: Adding minetweaker command botania
INFO: Adding minetweaker command chiselGroups
INFO: Adding minetweaker command chiselVariations
INFO: Adding minetweaker command railcraft
INFO: Adding minetweaker command mfr
INFO: Adding recipe for Apple
INFO: Adding recipe for Apple
INFO: Adding recipe for Apple
INFO: Adding minetweaker command tooltips
INFO: Adding minetweaker command entities
INFO: Adding minetweaker command lexiconCategories
INFO: Adding minetweaker command lexiconPages
INFO: Adding minetweaker command botaniaBrews
INFO: Adding minetweaker command lexiconKnowledgeTypes
INFO: Adding minetweaker command botaniaOrechid
INFO: Adding minetweaker command botania
INFO: Adding minetweaker command chiselGroups
INFO: Adding minetweaker command chiselVariations
INFO: Adding minetweaker command railcraft
INFO: Removing minetweaker command railcraft
INFO: Removing minetweaker command chiselVariations
INFO: Removing minetweaker command chiselGroups
INFO: Removing minetweaker command botania
INFO: Removing minetweaker command botaniaOrechid
INFO: Removing minetweaker command lexiconKnowledgeTypes
INFO: Removing minetweaker command botaniaBrews
INFO: Removing minetweaker command lexiconPages
INFO: Removing minetweaker command lexiconCategories
INFO: Removing minetweaker command entities
INFO: Removing minetweaker command tooltips
INFO: Removing recipe for Apple
INFO: Removing recipe for Apple
INFO: Removing recipe for Apple
INFO: Removing minetweaker command mfr
INFO: Removing minetweaker command railcraft
INFO: Removing minetweaker command chiselVariations
INFO: Removing minetweaker command chiselGroups
INFO: Removing minetweaker command botania
INFO: Removing minetweaker command botaniaOrechid
INFO: Removing minetweaker command lexiconKnowledgeTypes
INFO: Removing minetweaker command botaniaBrews
INFO: Removing minetweaker command lexiconPages
INFO: Removing minetweaker command lexiconCategories
INFO: Removing minetweaker command entities
INFO: Removing minetweaker command tooltips
INFO: Removing command minetweaker
INFO: Adding command minetweaker
INFO: Adding minetweaker command tooltips
INFO: Adding minetweaker command entities
INFO: Adding minetweaker command lexiconCategories
INFO: Adding minetweaker command lexiconPages
INFO: Adding minetweaker command botaniaBrews
INFO: Adding minetweaker command lexiconKnowledgeTypes
INFO: Adding minetweaker command botaniaOrechid
INFO: Adding minetweaker command botania
INFO: Adding minetweaker command chiselGroups
INFO: Adding minetweaker command chiselVariations
INFO: Adding minetweaker command railcraft
INFO: Adding minetweaker command mfr
INFO: Adding recipe for Apple
INFO: Adding recipe for Apple
INFO: Adding recipe for Apple
INFO: Adding minetweaker command tooltips
INFO: Adding minetweaker command entities
INFO: Adding minetweaker command lexiconCategories
INFO: Adding minetweaker command lexiconPages
INFO: Adding minetweaker command botaniaBrews
INFO: Adding minetweaker command lexiconKnowledgeTypes
INFO: Adding minetweaker command botaniaOrechid
INFO: Adding minetweaker command botania
INFO: Adding minetweaker command chiselGroups
INFO: Adding minetweaker command chiselVariations
INFO: Adding minetweaker command railcraft
